0,0,190
0,0,163.75
0,0,137.5
0,0,110
0,0,82.5
0,0,55
0,0,27.5
0,0,0
0,0,217.5
2.5,0,245
22.5,0,268.25
22.5,0,258.75
22.5,0,231.25
22.5,0,203.75
22.5,0,-13.75
22.5,0,13.75
22.5,0,41.25
22.5,0,68.75
22.5,0,96.25
22.5,0,123.75
22.5,0,151.25
22.5,0,176.25
42.5,0,245
45,0,217.5
45,0,0
45,0,27.5
45,0,55
45,0,82.5
45,0,110
45,0,137.5
45,0,163.75
45,0,190
150,0,190
150,0,163.75
150,0,137.5
150,0,110
150,0,82.5
150,0,55
150,0,27.5
150,0,0
150,0,217.5
152.25,0,245
172.5,0,268.25
172.5,0,258.75
172.5,0,231.25
172.5,0,203.75
172.5,0,-13.75
172.5,0,13.75
172.5,0,41.25
172.5,0,68.75
172.5,0,96.25
172.5,0,123.75
172.5,0,151.25
172.5,0,176.25
192.5,0,245
195,0,217.5
195,0,0
195,0,27.5
195,0,55
195,0,82.5
195,0,110
195,0,137.5
195,0,163.75
195,0,190
300,0,190
300,0,163.75
300,0,137.5
300,0,110
300,0,82.5
300,0,55
300,0,27.5
300,0,0
300,0,217.5
302.5,0,245
322.5,0,268.25
322.5,0,258.75
322.5,0,231.25
322.5,0,203.75
322.5,0,-13.75
322.5,0,13.75
322.5,0,41.25
322.5,0,68.75
322.5,0,96.25
322.5,0,123.75
322.5,0,151.25
322.5,0,176.25
342.5,0,245
345,0,217.5
345,0,0
345,0,27.5
345,0,55
345,0,82.5
345,0,110
345,0,137.5
345,0,163.75
345,0,190
450,0,190
450,0,163.75
450,0,137.5
450,0,110
450,0,82.5
450,0,55
450,0,27.5
450,0,0
450,0,217.5
452.25,0,245
472.5,0,268.25
472.5,0,258.75
472.5,0,231.25
472.5,0,203.75
472.5,0,-13.75
472.5,0,13.75
472.5,0,41.25
472.5,0,68.75
472.5,0,96.25
472.5,0,123.75
472.5,0,151.25
472.5,0,176.25
492.5,0,245
495,0,217.5
495,0,0
495,0,27.5
495,0,55
495,0,82.5
495,0,110
495,0,137.5
495,0,163.75
495,0,190
